RestaurantName,Address,WebsiteLink,XCoord,YCoord,SundayOpen,SundayClose,MondayOpen,MondayClose,TuesdayOpen,TuesdayClose,WednesdayOpen,WednesdayClose,ThursdayOpen,ThursdayClose,FridayOpen,FridayClose,SaturdayOpen,SaturdayClose
Papa John's,"1743 Benson Avenue Evanston, IL 60201-3704",https://locations.papajohns.com/united-states/il/60201-3704/evanston/1743-benson-avenue,42.04976,-87.68311,10,25,10,25,10,25,10,25,10,25,10,26,10,26
Patty Squared,"1999 Campus Dr, Evanston, IL 60208",https://www.northwestern.edu/norris/about-us/hours/index.html,42.05353,-87.67268,0,0,11.3,18.3,11.3,18.3,11.3,18.3,11.3,18.3,11.3,18.3,0,0
Peckish Pig,"623 W Howard St, Evanston, IL 60202",https://www.thepeckishpig.com/,42.01961,-87.67936,16.3,20,0,0,0,0,16.3,20,16.3,20,16.3,20,16.3,20
Peet's Coffee,"1622 Chicago Ave, Evanston, IL 60201",https://locations.peets.com/ll/US/IL/Evanston/1622-Chicago-Avenue,42.04699,-87.67995,7,17.3,6,17.3,6,17.3,6,17.3,6,17.3,6,17.3,6,17.3
Peppercorns Kitchen,"620 Davis St #4419, Evanston, IL 60201",https://peppercornskitchen.com/,42.04634,-87.68085,11,21.3,11,21.3,11,21.3,11,21.3,11,21.3,11,22.3,11,22.3
Pono Ono,"1630 Chicago Ave, Evanston, IL 60201",https://ponoonopoke.com/,42.04724,-87.67972,11,21,11,21,11,21,11,21,11,21,11,21,11,21
Potbelly Sandwich Shop,"630 Davis St, Evanston, IL 60201",https://www.potbelly.com/stores/23047,42.046371,-87.681358,10,22,10,22,10,22,10,22,10,22,10,22,10,22
Prairie Joe's,"1921 Central St, Evanston, IL 60201",http://prairiejoes.com/,42.06453,-87.69966,8.3,13.3,9,14,9,14,9,14,9,14,9,14,7,14
Sarpino's Pizzeria,"2428 Main St, Evanston, IL 60202",https://www.gosarpinos.com/pizza-delivery/sarpino-s-pizzeria-in-evanston-skokie-chicago#!/Info/4,42.03371,-87.708099,10,28,10,28,10,28,10,28,10,28,10,28,10,28
Sea Ranch Sushi,"518 Dempster St, Evanston, IL 60202",https://searanchsushi.com/,42.04103,-87.68005,12,19.3,12,19.3,12,19.3,12,19.3,12,19.3,12,20.3,12,20.3
Shang Noodle & Chinese,"608 Davis St #4419, Evanston, IL 60201",https://www.shangnoodleandchinese.com/,42.04608,-87.68015,11,21,11,21,11,21,11,21,11,21,11,22,11,22
Siam Splendour,"1125 Emerson St, Evanston, IL 60201",https://www.siamsplendourevanston.com/,42.05264,-87.68716,12,21,11,21,11,21,11,21,11,21,11,21,12,21
Stacked & Folded,"824 Noyes St, Evanston, IL 60201",https://www.stackedandfolded.com/,42.05795,-87.68312,11,20,0,0,11,20,11,20,11,20,11,20,11,20
Starbucks (Norris University Center),"1999 Campus Dr, Evanston, IL 60208",https://www.northwestern.edu/norris/about-us/hours/index.html,42.05353,-87.67268,10,22,8.3,22,8.3,22,8.3,22,8.3,22,8.3,22,8.3,22
Starbucks (Sherman Ave.),"1734 Sherman Ave, Evanston, IL 60201",https://www.starbucks.com/store-locator/store/116523/sherman-clark-evanston-1734-sherman-avenue-evanston-il-602013713-us,42.04958,-87.68202,6,21,6,22,6,22,6,22,6,22,6,22,6,22
Steak 'n Shake,"2209 Oakton St, Evanston, IL 60202",https://www.steaknshake.com/locations/il-evanston-oakton-street/,42.02677,-87.70682,10,24,10,24,10,24,10,24,10,24,10,24,10,24
Subway (Central St.) ,"3330 Central Street, Space A-1, Evanston, IL 60201",https://restaurants.subway.com/united-states/il/evanston/3330-central-street,42.06427,-87.72699,0,0,9,20,9,20,9,20,9,20,9,20,9,20
Subway (Clark St.),"724 N Clark St Space No 724, Evanston, IL 60201",https://restaurants.subway.com/united-states/il/evanston/724-clark-street,42.04976,-87.68134,9,27,9,27,9,27,9,27,9,27,9,27,9,27
Subway (Emerson St.),"1133 Emerson St, Evanston, IL 60201",https://restaurants.subway.com/united-states/il/evanston/1133-emerson-street,42.05267,-87.68744,9,22,7,22,7,22,7,22,7,23,7,23,8,23
Table to Stix Ramen,"1007 Davis St, Evanston, IL 60201",http://www.tabletostix.com/,42.04723,-87.68539,12,21,12,20,0,0,12,20,12,20,12,21,12,21
Taco Diablo,"1026 Davis St., Evanston, IL, 60201 ",https://www.tacodiablo.com/,42.04669,-87.68615,11.3,21,11:30,22,11:30,22,11:30,22,11:30,22,11:30,22,11:30,22
Tapas Barcelona,"1615 Chicago Ave, Evanston, IL 60201",https://www.opentable.com/r/tapas-barcelona-evanston,42.04679,-87.67915,16,21,17,21,17,21,17,21,17,21,17,22,16,22
Tealicious Bubble,"1565 Sherman Ave, Evanston, IL 60201",https://www.tealiciousbubble.com/,42.04586,-87.681137,0,0,12,19,12,19,12,19,12,19,12,19,12,19
Terra & Vine,"1701 Maple Ave, Evanston, IL 60201",https://www.terraandvine.com/,42.04883,-87.68448,16,20,0,0,0,0,16,20,16,20,16,20,16,20
The Supreme Burrito #1,"843 Dodge Ave, Evanston, IL 60202",https://www.facebook.com/TheSupremeBurrito/,42.03355,-87.69886,10,15,10,22.3,10,22.3,10,22.3,10,22.3,10,22.3,10,22.3
Todoroki,"526 Davis St, Evanston, IL 60201",http://www.mytodorokievanston.com/,42.04582,-87.67916,15,21,15,21,15,21,15,21,15,21,15,21,15,21
Tomate Fresh Kitchen,"914 Noyes St, Evanston, IL 60201",https://www.tomatefreshkitchen.com/,42.058311,-87.683792,0,0,11,18,11,18,11,18,11,18,11,18,11,18
Union Squared,"1307 Chicago Avenue, Evanston, IL 60201",http://unionpizza.com/,42.04147,-87.68038,16,20,16,20,16,20,16,20,16,20,16,20,16,20
Viet Nom Nom (Church St.),"618 1/2 Church St, Evanston, IL 60201",https://www.eatvietnomnom.com/,42.04789,-87.68019,0,0,0,0,11,15,11,15,11,20,11,20,11,20
Viet Nom Nom (Norris),"1999 Campus Dr, Evanston, IL 60208",https://www.eatvietnomnom.com/,42.05353,-87.67268,0,0,11,15,11,15,11,15,11,15,11,15,0,0
Wingstop,"2434 Main St f, Evanston, IL 60202",https://www.wingstop.com/location/wingstop-376-evanston-il-60202/menu,42.033,-87.70699,11,24,11,24,11,24,11,24,11,24,11,24,11,24
